<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
QIWI,D,20151210,000000,1275.0000000,604
QIWI,D,20151211,000000,1245.0000000,297
QIWI,D,20151214,000000,1200.0000000,4345
QIWI,D,20151215,000000,1250.0000000,595
QIWI,D,20151216,000000,1260.0000000,776
QIWI,D,20151217,000000,1350.0000000,3715
QIWI,D,20151218,000000,1265.0000000,2993
QIWI,D,20151221,000000,1275.0000000,838
QIWI,D,20151222,000000,1275.0000000,4803
QIWI,D,20151223,000000,1290.0000000,3150
QIWI,D,20151224,000000,1275.0000000,280
QIWI,D,20151225,000000,1275.0000000,441
QIWI,D,20151228,000000,1290.0000000,568
QIWI,D,20151229,000000,1305.0000000,988
QIWI,D,20151230,000000,1320.0000000,1165
QIWI,D,20160104,000000,1280.0000000,482
QIWI,D,20160105,000000,1300.0000000,226
QIWI,D,20160106,000000,1295.0000000,274
QIWI,D,20160111,000000,1250.0000000,803
QIWI,D,20160112,000000,1245.0000000,702
QIWI,D,20160113,000000,1260.0000000,1242
QIWI,D,20160114,000000,1265.0000000,501
QIWI,D,20160115,000000,1190.0000000,4497
QIWI,D,20160118,000000,1205.0000000,1390
QIWI,D,20160119,000000,1235.0000000,1718
QIWI,D,20160120,000000,1130.0000000,4106
QIWI,D,20160121,000000,1150.0000000,921
QIWI,D,20160122,000000,1150.0000000,4540
QIWI,D,20160125,000000,1105.0000000,4312
QIWI,D,20160126,000000,1045.0000000,7133
QIWI,D,20160127,000000,1055.0000000,4589
QIWI,D,20160128,000000,1025.0000000,6496
QIWI,D,20160129,000000,1020.0000000,5522
QIWI,D,20160201,000000,1025.0000000,5736
QIWI,D,20160202,000000,1000.0000000,6446
QIWI,D,20160203,000000,1015.0000000,17948
QIWI,D,20160204,000000,1110.0000000,11911
QIWI,D,20160205,000000,1055.0000000,5973
QIWI,D,20160208,000000,1020.0000000,7009
QIWI,D,20160209,000000,1020.0000000,2273
QIWI,D,20160210,000000,1015.0000000,8128
QIWI,D,20160211,000000,1005.0000000,1755
QIWI,D,20160212,000000,995.0000000,10373
